quote,tags
الآمال العظيمة تصنع الاشخاص العظماء .,تفاؤل
عندما تكون لديك القدرة على الحلم، تكون لديك القدرة أن تعيش.,تفاؤل
إذا فقدت مالك فقد ضاع منك شئ له قيمة ، و إذا فقدت شرفك فقد ضاع منك شئ لا يقدر بقيمة ، و إذا فقدت الأمل فقد ضاع منك كل شئ .,تفاؤل
سيكون يومك مشابهاً للتعبير المرتسم على وجهك سواء كان ذلك ابتساماً أو عبوسا .,تفاؤل
التفاؤل يمنحك هدوء الاعصاب في أحرج الاوقات .,تفاؤل
في القلب حزن لا يذهبه إلا السرور بمعرفة الله .,تفاؤل
إذا تعسرت أمورك ، و خالجتك الهموم والأحزان فاتق الله ، فهو كفيل بتفريج همك ، و تيسير أمورك .,تفاؤل
الإنسان دون أمل كنبات دون ماء ، و دون ابتسامة كوردة دون رائحة ، و دون إيمان بالله وحش في قطيع لا يرحـم .,تفاؤل
حسناً يا صديقي ، ليس ما يأخذونه منك هو المهم .. بل المهم هو ما تفعله بما يتبقى لديـك .,تفاؤل
الأفضل دائماً أن نتطلع للأمام بدلاً من النظر إلى الخلف .,تفاؤل
المؤمن كالورقة الخضراء ، لا يسقط مهما هبت العواصف .,تفاؤل
انت ترى اشياء تحدث و تقول : لمـاذا ؟ لكنني أحلم بأشياء لم تحدث بعد ، وأقول : لم لا ؟ .,تفاؤل
لا تجعل ثقتك بالناس عمياء ، و لا تتخيلهم ملائكة فتنهار احلامك .,تفاؤل
الامل ليس حلماً ، بل طريقة لجعل الحلم حقيقة .,تفاؤل
الفرق بين الواقع و الحلم هو كلمة من ثلاثة أحرف (عـمل) .,تفاؤل
لربما أولئك الذين حققوا إنجازات أكثر هم الذين حلموا أكثر.,تفاؤل
لا تبك إذا ذهبت الشمس ، فدموعك ستحجب عنك رؤية النجوم .,تفاؤل
يصبح الإنسان عجوزاً حين تحل الاعذار محـل الامل .,تفاؤل
اصبر قليلا فبعد العسر تيسير ... وكل أمر له وقت وتدبير,تفاؤل
علينا ان نعلم ابنائنا كيف يحلـمون و أعينهم مفتوحة .,تفاؤل
لا تجعل الاعشاب الضارة تنمو حول حلمك .,تفاؤل
إذا حوصرت بالأوهام و الوساوس و القلق و المخاوف ، فاجعل لسانك رطباً بذكرالله .,تفاؤل
المتشائم .. أحمق يرى الضوء أمام عينيه ، لكنه لا يصدق .,تفاؤل
عندما لا تتفاءل ، يتسوس الذكاء .,تفاؤل
لا شيء يجعلك عظيم غير ألم عظيم .,تفاؤل
الثقة بالله أزكى أمل ، و التوكل عليه أوفى عمل .,تفاؤل
مكنك أن تحلم و تبتكر و تبدع أعظم الأفكار في العالم ، لكنك بحاجة إلى فريق لتحويل الأفكار إلى نتائج. يمكننا الوصول إلى القمر إذا ما وقف بعضنا على أكتاف بعض .,تفاؤل
لا تقل يا رب عندي هم ، بل قل يا هم عندي رب .,تفاؤل
إن الغروب لا يحول دون شروق جديد .,تفاؤل
يجب ان يكون احساسك ايجابياً مهما كانت الظـروف، و مهما كانت التحديات، و مهما كان المؤثر الخارجي .,تفاؤل
النظر إلى مدينة الماضي جهالة.,تفاؤل
لولا الأمل في الغد لما عاش المظلوم حتى اليوم .,تفاؤل
أنا متشائم بسبب الذكاء ، و لكني متفائل بسبب العزيمة .,تفاؤل
الامـل لا علاقة له بالمنطق .,تفاؤل
لا تجعل تحديات الحياة تسرق منك أحلامك، تعلم منها وستجدها أفضل أصدقائك .,تفاؤل
عندما يكون لديك الأمل، كل شيء يصبح ممكنا.,تفاؤل
لا يجرؤ بعض الناس أن يكونوا ملوكا حتى في أحلامهم .,تفاؤل
أحب النظر الى الجانب المشرق من الحياة .. لكنني واقعي بما يكفي لادرك ان الحياة تركيبة معقدة .,تفاؤل
الفرق بين نظرة الاسلام و النظرة التشاؤمية ، هو أن الاسلام ينظر للحياة كما ينبغي أن تكون ، أما التشاؤم فإنه ينظر للحياة كما هي .,تفاؤل
اذا نظرت بعين التفاؤل الى الوجود ، لرأيت الجمال شائعاً في كل ذراته .,تفاؤل
العقل القوي دائم الأمل ، و لديه دائما ما يبعث على الأمل .,تفاؤل
إن أحلام الذين ينامون على الريش ليست أجمل من أحلام الذين ينامون على الأرض.,تفاؤل
هناك شرخ في كل شئ .. فهكذا يدخل النور .,تفاؤل
في السادسة من عمري تمنيت أن أكون طباخاً ، و في السابعة من عمري تمنيت أن أكون نابليون .. و لا زال طموحي ينمو بنفس المعدل منذ ذلك الحين .,تفكير
لا تختر في موقع القيادة أولئك الذين يشيرون الى ما هو أعلى من دورهم في النجاح أو النصر ، و يتنصلون عن مسؤوليتهم في الاخفاق أو الفشل .,تفكير
اتباع التقاليد لا يعني أن الأموات أحياء، بل أن الأحياء أموات.,تفكير
في أوقات التغيرات السريعة يمكن ان تكون الخبرة ألد أعدائك .,تفكير
الإنسـان الذي تتحكم بـه العواطف لا يرى إلا جانبا ًواحدا من المـــوقف.,تفكير
تسير المسؤولية جنـباً إلى جنب مع القدرة و القوة .,تفكير
قوة العقل تكمن في الرصانة، لأنها تُبقي عقلك بعيدا عن تشويش العاطفة.,تفكير
ارفع عنك إحساسك بالألم وسوف يزول الألم ذاته.,تفكير
اجعل من نفسك شخصا نزيهاً وسوف تتأكد من أن عدد الأوغاد في العالم قد نقص واحدا.,تفكير
الخطأ الوحيد في حياتي هو الخطأ الذي لم أتعلّم منه شيئا.,تفكير
مثلما السيارة ذات العجلات المتوازية بدقة تجري فى طريقها بسهولة وبسرعة .. فانت ستؤدي في الحياة بشكل افضل اذا وازنت بين افكارك و مشاعرك و عواطفك و اهدافك و قيمـك .,تفكير
العجز عجزان : التقصير في طلب الشيء وقد أمكن، والجد في طلبه وقد فات.,تفكير
إني أعمل دائماً ما لا أَستطيعُ عمله لكي أتعلّم كيفية عمله.,تفكير
عامل من انت مسؤول عنهم كما تحب ان يعاملك من هو مسؤول عنك .,تفكير
حاول المستحيل لكي تحسـن عملك .,تفكير
مع كل حق مسؤولية ، فلماذا لا يتذكر الناس الا حقوقهم ؟ .,تفكير
لا تقم بتأجيل أي شيء إلى الغد إلا الشيء الذي تريد أن تموت دون فعله.,تفكير
ان الالتزام هو جـوهر المسؤولية ، و بمقتضاها يحاسب المرء على اداءه لالتزاماته .,تفكير
الكرم الحقيقي هو أن تفعل فعلا محموداً لشخص لن يعرف أبدا بما فعلته .,تفكير
ليس الـمهم الكرامة الشخصية، بل الـمهم كرامة الوطن وقضيته.,تفكير
وقتما وجدت نفسك في صف الاغلبية فقد حان وقت التغيير .,تفكير
تلزمك دقيقة واحدة فقط لتغير حياتك .,تفكير
بعض الكتب يمكن تذوّقها، والبعض الآخر يمكن ابتلاعها، والقليل منها تمضغ وتهضم.,تفكير
ليست قيمةُ الإنسان بما يبلغه، بل بما يتوقُ البلوغ إليه.,تفكير
اذا اردت ان تنجح في حياتك. فاجعل المواظبة صديقك الحميم والحذر أخاك الأكبر، والرجاء عبقريتك الحارسة.,تفكير
الأعداء يطرقون الأبواب بشدة، لكنهم لا يستطيعون الدخول علينا إلا إذا فتحنا لهم من الداخل.,تفكير
من كان لا يبصر غير محاسنه ومساوئ غيره فالضرير خير منه.,تفكير
يمكن للانسان أن يغير حياته ، اذا ما استطاع أن يغير اتجاهاته العقلية .,تفكير
ما طالت فكرة امرىء قط إلا فهم، وما فهم إلا علم، وما علم إلا عمل.,تفكير
الفشل في حيائه خير من النجاح في ادعائه.,تفكير
الجميع يفكر في تغيير العالم و لكن لا احد يفكر في تغيير نفسه .,تفكير
من أضاع ساعة من زمن ..أضاع سنة من عمره.,تفكير
ازرع فكرة وسوف تحصد فعلا، ازرع فعلا وسوف تحصد عادة، ازرع عادة وسوف تحصد شخصية، ازرع شخصية وسوف تحصد مصيرا.,تفكير
لدي اعتقاد راسخ بأن كل شخص منا يستطيع القيام بالقليل لإنهاء تعاسة الآخرين.,تفكير
احرص قبل أي خطوة تغيير في حياتك أن يكون حجم الفجوة معقولاً بين وضعك الحالي و الوضع الذي تريد تحقيقه .,تفكير
لا يمكننا أن ننعم بالسلام مع العالم الخارجي حتى نحقق نوعا من السلام الداخلي مع أنفسنا .,تفكير
الذي يعوق معظم الناس عن تسجيل إنجازات جيدة ليس العقبات الكبرى التي يواجهونها في طريقهم، وإنما التردد والخوف من الانطلاق.,تفكير
شخص بلا هدف مثل سفينة بلا دفة.,تفكير
لقد آن لكل شخص أن يتحمل مسؤوليته ، و يدخل في كل حساب أو يسقط من كل حـساب .,تفكير
اذا اردت ان تخلق لك الاعداء فحاول تغيير وضع قائم .,تفكير
لن تصبح عامل تغيير إلا اذا توقفت عن فعل الاشياء التي ليس لها معنى .,تفكير
قد يموت شخص، وقد تنهض الأمم أو تتقوض، لكن الفكرة تستمر في الحياة؛ فالأفكار لا تنتهي صلاحيتها.,تفكير
لا يهم من أين أنت قادم المهم الي أين أنت ذاهب.,تفكير
الكمال فراشة يصعب الإمساك بها والسعادة تصبح سهلة المنال عندما نكف عن طلب الكمال.,تفكير
إن الطريقة التي نقضي بها أوقاتنا هي نتيجة مؤكدة للطريقة التي ننظر بها إلي الوقت.,تفكير
الميزة الوحيدة التي تجمع بين الناجحين في العالم تكمن في قدرتهم على تحمل المسؤولية .,تفكير
من السهل أن نتفادى مسؤولياتنا ، و لكن لن نستطيع أن نتفادى النتائج المترتبة عـلى ذلك .,تفكير
إذا كنت تقرأ فقط الكتب التي يقرأها الجميع؛ فستفكر فقط كما يفكّر الجميع.,تفكير
إن المراجعة والنقد الذاتي يسببان آلاما ولكنهما يمثلان الخطوة الأولى على طريق إيقاف التدهور.,تفكير
لكي تنتقد الناس يجب أن تعرفهم، ولكي تعرفهم يجب أن تحبهم .,تفكير
الشجاعة أعظم فضيلة، لأنك إن لم تكن تتمتع بالشجاعة فقد لا يكون لك فرصة لاستخدام أي من الفضائل الأخرى.,تميز
هؤلاء الذين يتمتعون في طبيعتهم بذلك المسعى الحتمي وراء الافضل ، والذين لا يقبلون أي شيء اقل منه ، هم الذين يحملون رايات التقدم ، ويضعون المقاييس والمثل للأخرين .,تميز
العظماء يعتبرون المتاعب الكبيرة أمور هينة ، و ينظرون إلى الأمور الهينة على أنها لا شئ على الإطلاق.,تميز
الامر يتطلب من الشجاعة لفعل الأمر الصحيح أكثر من الخوف من فعل الخطأ.,تميز
الشجاعة لا معنى لها إن كانت لا تخدم هدفـا .,تميز
الشجاعة اعظم صفة في الشخص لان بقية الصفات تأتي نتاجاً لها .,تميز
الحذر ليس بجبن ، كما ان التهور ليس بشجاعة .,تميز
لقد ابتكرت طريقة عجيبة للتعامل مع الخوف ، فحتى لو لم أكن شجاعاً ، فان تعرضي للخطر باستمرار جعلني اعتاد عليه حتى زال الخوف من تفكيري نهائيا .,تميز
التميز هي النتيجة التى يتوصل اليها تدريجيا بعد الكفاح الدائم من اجل التحسن.,تميز
الإنسان الناجح ينجز اعماله بدقة و بسرعة .,تميز
و من لم يمت بالسيف مات بغيره ... تعددت الأسباب و الموت واحد .,تميز
اذا اقدمنا على مغامرة ، فلابد لنا أن نقذف وراءنا بكل المخاوف .,تميز
قف دون رأيك في الحياة مجاهدا ... إن الحياة عقيدة وجهاد,تميز
كلما كان الاكتشاف مبتكراً كلما بدا متميزاً بعد ذلك .,تميز
مقدار نجاحك هو مقدار تحكمك في نفسك .,تميز
القضيب العادي من الحديد قيمته حوالي ٥ دولارات ، فاذا صنعت منه حـدوة فرس اصبحت قيمته حوالي ١١ دولاراً .. و اذا صنعت منه مفكات اصبحت قيمته حوالي ١٥ دولاراً .. و اذا صنعت منه ابراً اصبحت قيمته ٣٥٠٠ دولاراً … نفس الشئ يصدق على نوعية اخرى من الخامات : أنت . إن قيمتك تتحدد بالشئ الذي تقرر ان تصنعه بنفسك .,تميز
يمكن القول بشكل عام ان الإنسان الاكثر نجاحا ً في الحياة هو من تتوفر لديه أفضل و أحسـن المعلومات .,تميز
نحتاج للرؤية و الشجاعة لكي نبدع .. و نحتاج للايمان و الشجاعة لكي نثبت .,تميز
الجبناء يموتون مرات عديدة قبل موتهم، والشجاع لا يذوق الموت إلا مرة واحدة.,تميز
أينما ترى تجارة ناجحة، فحتماً هناك من اتخذ قراراً شجاعاً .,تميز
من قال انه وصل فهو مازال في أول الطريق .,تميز
إن الشجاع هو الجبان عن الأذى ... وأرى الجريء على الشرور جبانا,تميز
فلتكن شجاعا و تخاطر ، فلا يمكن استبدال الخبرة بأي شيء آخر .,تميز
عليك أن تتحلى بالشجاعة الكافية لاستخدام عقلك .,تميز
التميز أفضل ما يمنع التمييز العنصري أو النوعي .,تميز
شجاعة الموقف هي أندر أنواع الشجاعة .,تميز
البغي يتجسد تارة في سلوك الباغي وتارة في سلوك من يسكت على بغيه.,تميز
لا يقاس النجاح بالموقع الذي يتبوأه المرء في حياته ، بقدر ما يقاس بالصعاب التي يتغلب عليها .,تميز
الملايين رأوا التفاحة تسقط ، ولكن نيوتن فقط هو من تساءل عن السبب .,تميز
يقدر الإنسان نفسه حسب الاعمال التي يعتقد انه يستطيع إنجازها ولكن العالم يقدره حسب الاعمال التي ينجزها في الواقع .,تميز
أعظم ما يمكنك عمله لأي إنسان ليس فقط أن تشاركه في ميزاتك ولكن أن تكشف له مميـزاته .,تميز
يفشل الناس كثيرا ، ليس بسبب نقص القدرات ، وانما بسبب نقص في الالتزام .,تميز
اقتحموا الموت ، فرب جرئ كـتب له السلامة ، و رب جبان لقى حتفه فى مكمـنه .,تميز
قل للمرء أنه شجاع و سوف تساعده على أن يصبح كذلك .,تميز
الشجاعة هي نعمة وهبت لنا للتخلص من الضغوط.,تميز
الجبناء يهربون من الخطر ، و الخطر يهرب من الشجعان .,تميز
يتعرض الجبناء لشجارات أكثر كثيرا من أقوياء الشخصية .,تميز
الحياة تتقلص و تتمدد تبعاً لشجاعة المرء.,تميز
الحياة تتقلص و تتمدد تبعـاً لشجاعة المرء .,تميز
في الأزمات الفاصلة يكون الأكثر جرأة هو الأكثر أمانا في أغلب الأحيان .,تميز
للتعامل مع الخوف ، عليك بثلاثة ... انظر اليه على انه أمر واقع ، عالج اسبابه (لان للخوف اسباب) ، ثم حاول ان تحوله الى غضب .,تميز
الإنـسان من غير تخطيط و برمجة يجد نفسه منجذباًً نحو القيام بالأشياء السهلة و التهرب من الأشياء الصعبة .,تميز
كثيراً ما يتملكنا شعور بالخوف من أشياء أو مواقف معينة ، فلا يمكن ازالة هذا الخوف الا بالخوف من الله سبحانه و الاتكال عليه .,تميز
ليس هناك خطوة واحدة عملاقة حققت الانجاز.. انها مجموعة خطوات صغيرة .,تميز
أهم شيء هو ألا تخاف ، فعدوك الذي يجبرك على التراجع يخافك في تلك اللحظة ذاتـها .,تميز
لم أعرف ابدا شخصا حالفه الحظ لوقت طويل ، فجميعهم كانوا يستحقون ما نالوه، إذ ليس هناك شئ اسمه متـسابق محظوظ .,تميز
النجاح أحياناً معلم سئ ، إذ انه يجعل الاذكياء يظنـون انهم لا يخسرون .,تميز
و من يتهيب صعود الجبال ... يعش ابد الدهر بين الحفر .,تميز
هل شاهدت من قبل كيف يهبط الشلال الهادر من الاعلى ؟ .. هكذا يجب ان ينقض المؤمن الشجاع على قوى الباطل .,تميز
إن الجبان يموت آلاف المرات ، ولكن الشجاع لا يذوق الموت الا مرة واحدة .,تميز
الإنسان أمامه خياران: إما أن يكون تابعاً أو مبادراً، ونحن نرغب في أن نكون مبادرين ومتقدمين.,تنمية
حاصر حصارك لا مفر .. قاتلْ عدوك لا مفر .. سقطت ذراعك فالتقطها .. وسقطتُ قربك فالتقطني ، واضرب عدوك بي .. فأنت اليوم حر وحر وحر .,تنمية
وحده الشغف، الشغف بالأمور العظيمة، يستطيع أن يسمو بالروح إلى مقامات عالية جدا.,تنمية
الإدارة .. هي القيام بتحديد ما هو مطلوب عمله من العاملين بشكل صحيح ثم التأكد من أنهم يؤدون ما هو مطلوب منهم من أعمال بأفضل و أرخص الطرق .,تنمية
"لا تقل إنه ليس لديك الوقت ، فلديك كل يوم نفس عدد الساعات الذي كان لدى ""هيلين كيلر"" و ""باستور"" و ""مايكل أنجلو"" و ""ليوناردو دافينشي"" و "" توماس جيفرسـون"" و "" ألبرت آينشتاين"" .",تنمية
من المحتمل ألا تستطيع التحكم في الظروف ، و لكنك تستـطيع التحكم في أفكارك ، فالتفكير الايجابي يؤدي الى الفعل الايجابي و النتائج الايجابية .,تنمية
إن طاقة الإنسان لو تم توصيلها ببلد يمكنها أن تولد كهرباء لمدة اسبوع كامل .,تنمية
اذا لعبت باقصي طاقتي ، يمكننى الفوز في أي مكان في العالم ضد اى شخص .,تنمية
اتقان ( فن القراءة السريعة ) يتيح لك الانتـهاء من قـراءة أكـداس الاوراق المتراكمة أو الكتب اوالملفات التي يجب انهاءها بسرعة .. ابحث عن العناوين المهمة ،اقرأ مجموعة كلمات سوية و ليس الواحـدة تلو الاخرى ، تجنب قراءة الكلمات بصوت عال ، استخرج المعلومات الاساسية و لا تستغرق في التفاصيل .,تنمية
لا يصل الناس الى حديقة النجاح ، دون ان يمروا بمحطات التعب و الفشل و اليأس ،و صاحب الإرادة القوية لا يطيل الوقوف في هذه المحطات .,تنمية
الخطوة الاولى لتنظيم وقتنا هي ان نحدد الاشياء و العـادات التي تتسبب في اهدار هذا الوقت ، و ذلك للتخلص منها تباعاً ... على سبيل المثال : مشاهدة التلفزيون لاوقات طويلة ، ساعات النوم الزائدة ، تأجيل الاعمال دون مبرر ... الخ .,تنمية
ان الرجل الذى عقد النية على الفوز لا ينطق كلمه مستحيل.,تنمية
يظن كثير من رجال الادارة أن العلاقات الإنسانية فصل في كتاب تنظيم العمل ، و هم مخطئون في هذا ، فالعلاقات الإنسانية هي كل الكتاب .,تنمية
بناء التركيز يحتاج الى وقت و تمرين .,تنمية
تحدثـك دائما عن نفسك دليل على أنك لست واثقا منها .,تنمية
إن اجسامنا تحتوي على ما يعرف باسم الصيدلية الداخلية ، و عنـدما تكـون توقعاتنا و افكارنا إيجابية فان هذا يرفع من كـفاءة جهازنا المناعي ، و يفرز الجسم مواد مهدئة داخلية تعمل على خفض التوتر النفسي و الألم ، كما تساعد على حـث طاقة الجسم و تدعيمها حتى تحت أقصى ظروف الضغط .,تنمية
لو ان العدو الداخلي ـ داخل عقلك ـ ليس له وجود فالعدو الخارجي لا يستطيع ايذائك .,تنمية
إذا كنت تشعر بتوتر بسبب أي عوامل خارجية، فاعلم أن الألم ليس نتيجة لهذه العوامل نفسها، بل لتقييمك لها ؛ وهو الأمر الذي يمكنك إيقافه في أي لحظة .,تنمية
مهما فكرت في نفسك ، فانت أقوى مما تخيل .,تنمية
لست الأفضل و لكن لي أسلوبي .. سأظل دائماً اتقبل رأي الناقد و الحاسد ، فالأول يصحح مساري ، و الثاني يزيد من اصراري .,تنمية
إن مجرد التلفظ بكلمة إرادة يشحن المرء بقوة غير عادية .,تنمية
من أكثر العادات الجسمانية التي يهملها الناس هي التنفس .,تنمية
الرحمة جوهر القانون ، و لا يستخدم القانون بقسوة الا الطغاة .,تنمية
انعدام السلطة يحدث الفساد ، و انعدامها بدرجة مطلقة يحدث الفساد المطلق .,تنمية
إذا خاف الناس من الإقدام على أخطار تطوير ذواتهم لأن الفشل سيلاحقهم إلى الأبد فإنهم لن يفعلوا و سيتراجعون إلى عالم مريح ، لكنه عالم لا يتطور فيه الناس و لا تنمو شخصياتهم .,تنمية
لا أملك الإرادة .. عبارة يتوارى خلفها العاجزون .,تنمية
تأتي الفكرة عن طريق الرغبة الشديدة .,تنمية
لا أصدق انني كسرت الرقم القياسي العالمي في سباق الركض .. كل ما أردته ان أعدو أسرع من عقارب الساعة .,تنمية
العقول العظيمة لديها أهداف أما الاخرى فلديها رغبات .,تنمية
يكفيك من اخطاء الماضي وقفة اعتبار تعطيك دفعة جديدة في طريق الحق و الصـواب .,تنمية
حماس العقل لا يشيب .,تنمية
أبدا لم يسلم أحد منا من صفعات الزمن .. لكن الأقوياء فقط هم الذين امتلكوا من الإرادة قدراً ، منعوا به أيديهم من أن تتحسس موضع الصفعة ، فلم يلحظ ألمهم أحد .,تنمية
نحن نحمل بداخلنا المعجزات التي نسعى اليها .,تنمية
عندما تبنى الاحاسيس على منطق معين يكون القرار افضل ، لكن لو أتت الاحاسيس في المقدمة فهنا تكون الخطورة .,تنمية
اننا نزداد قوة عندما ندرك ان يد العون التي نحتاجها توجد في نهاية ذراعنا .,تنمية
في مواجهة الظواهر و المعضلات ، ابحث عن السبب .,تنمية
انا مصمم على بلوغ الهدف ، فإما أن انجح ... و إما ... أن أنجح .,تنمية
ليكن شعارك : الكون منظم فلا مكان فيه للفوضى .,تنمية
اعرف طريقي و اعرف الحقيقة و لا اريد ان اكون كما تريده انت .. انا حر ان اكون ما اريد ان أكون .,تنمية
رتب أهدافك حسب الأولويات ... اجعل نواياك خالصة الله تعالى ... نفذ ... قـيم النتائج . تلك هي المبادئ الاساسية للاداري الناجح .,تنمية
توقع العقبات ، لكن لا تسمح لها بمنعك من التقدم .,تنمية
كل الشدائد و العقبات التي واجهتها في حياتي زادت من عزيمتي .. قد لا تـدرك هذا وقتما تلاقيك المحنة .. و لكن ركلـة على اسنانك قد تكون افضل ما يحصل لك في العالم .,تنمية
أمر جيد أن تقوم بتحليل المواقف و الاشخاص ، لان هذا يـساعد عقلك على التفكير بأفضل القرارت و الحلول البديلة ، لكن الاستغراق في تحليل كل شئ و أي شئ يجعل تفكيرك يضيع في متاهات .,تنمية
إن قضاء سبع ساعات في التخطيط بأفكار و أهداف واضحة لهو أحسن و أفضل نتيجة من قضاء سبعة ايام دون توجيه أو هدف .,تنمية
التفكير الواضح يسبق الكتابة الصحيحة أو التصرف الصحيح .,تنمية
إذا حال دون نشاطك المعتاد حائل ، من مرض أو سجن أو ظرف قاهر ، فاستنقذ من نشاطك ما يمكن إنقاذه .,تنمية
اذا كان دماغك يعمل و انت تفكر في كل الاحوال .. فكر في شئ جيد .,تنمية
خطط لاعمالك اليومية و الاسبوعية . لكن تعلم كيف تتأقلم مع الظروف المتغيرة كي يكون تخطيطك فعالاً .,تنمية
انني القي بنفسي وسط المآزق ، ثم أفكر بعد ذلك في ايجاد الحلول .,تنمية
ربما لم يعلق الآخرون آمالا عريضة علي .. و لكني كنت أعلق آمالا عريضة على نفسي .,تنمية
النصر و الهزيمة يكلـفان نفس الثمن .,حرب
باتباع الخطط غير المباشرة مع عدوك، فانك تقطع رقبته دون ان تستعمل السكين .,حرب
كلما اتسع حجم الخصم زادت نقاط ضعفه وضوحا .,حرب
لتكن قوسك مهيأة ، و لكن أجل إطلاق السهم .,حرب
المهزوم اذا ابتسم ، افقد المنتصر لذة الفوز .,حرب
حينما يقاتل المرء لكي يغتصب و ينهب ، قد يتوقف عن القتال اذا امتلأت جعبته، أو أنهكت قواه ، و لكنه حين يحارب من أجل وطنه يمضي في حربه الى النهاية .,حرب
من كان يحيا بمحاربة عدو ما، تصبح له مصلحة في الابقاء على هذا العدو حيا .,حرب
أنا أكره الحرب، فهي أسوأ الطرق لإبقاء الإنسان في هوة الاحتقار ولتحويله إلى وحش ضارٍ.,حرب
نحن نسقط لكي ننهض ، و ننهزم في المعارك لنحرر نصراً أروع .. تماماً كما ننام لكي نصحو أكثر قوة و نشاطـاً .,حرب
يجب أن نسلح الرأس أولًا قبل أن نسلح الأيدي.,حرب
كلما زادت قوتنا قلت احتمالية الحرب .,حرب
حتى اذا كنت تـُهزم دائماً ، فلا تـُهزم بسهولة .,حرب
من الصعب أن تحارب عدواً يستطيع قراءة أفكارك .,حرب
الانتصار في المعارك ليس هو النجاح التام .. النجاح التام هو أن تكسر مقاومة العدو بدون قتال .,حرب
الشئ الوحيد الذي يجعل الشر ينتصر هو ان يظل الخير ساكناً لا يفعل شيئاً .,حرب
نحن لن نستسلم ، ننتصر أو نموت .,حرب
كلمة تشجيع عند الهزيمة أفضل من خطبة مديح عند النصر .,حرب
تستطيع أن تكتشف أكثر ما يخيف عدوك من خلال مراقبة الوسائل التي يستخدمها لإخافتـك .,حرب
اذا خيرت بين العنف و قبول الذل ، فاختر العنف .,حرب
الاستعداد للحرب هي أفضل الوسائل فعالية للحفاظ على السلام.,حرب
أموت وسلاحي بيدي، لا أن أحيا وسلاحي بيد عدوي.,حرب
يعلمنا التاريخ أن الحروب تبدأ عندما تعتقد الحكومات أن ثمن العدوان رخيص .,حرب
الحرب ـ لو يعلمون ـ لا تستعر نيرانها في اجواف المدافع ، بل في قلوب الناس و أفكارهم ايضا .,حرب
و شهدت يوما من ايام الحرب لتوسلت إلى الله ألا يريك ثانية منها .,حرب
أكثر المعارك البشرية إيلاماً لا تكون بين الخير و الشر ، بل بين أهل الخير بعضهم بعضا .,حرب
الضربة لا ترعب ، ما يرعب هو انتظارها .,حرب
اعرف عدوك حتى تستطيع مواجهته بكفاءة .,حرب
النصر يذهب للاعب الذي يرتكب الخطأ قبل الأخير .,حرب
الحرب لا تحدد من هو المصيب، بل تحدد فقط من هو الباقي.,حرب
إذا أفنيت عمرك في جمع السلاح فمتى ستقاتل ؟ .,حرب
اذا ضربت فأوجع ، فان الملامة واحدة .,حرب
قد يحارب الجبناء اذا لم يستطيعوا الفرار .,حرب
بعد قراءة مستفيضة في تاريخ الإنسانية ، وجدت ان أي حرب من حروب الخير و الشر لم يكن تجنبها ممكناً .. لكن حروب الاخيار فيما بينهم هي قطعاً ما كان يجب ألا تحدث من الاساس .,حرب
لقد استفدت من أعدائي أكثر مما انتفعت بأصدقائي ، لان أعدائي كانوا يعايرونني و يكشفون لي عن عيوبي ، و بذلك أتنبه إلى الخطأ فاستدركه ، أما أصدقائي فانهم كانوا يزينون لي الخطأ و يشجعوني عليه .. فاللهم احفظني من أصدقائي .,حرب
اذا اردت السلام فاستعد للحرب .,حرب
انقل المعركة إليهم ، و لا تدعهم يحضرونها إليك .,حرب
الجنود كالحديد ، في أيام السلم يصدؤون .,حرب
للنصر طريقان يؤديان اليه .. براعتك و حماقة عدوك .,حرب
أخطر الأوقات هي أوقات النصر .,حرب
تواضع عند النصر ، و إبتسم عند الهزيمة .,حرب
الحرب مجزرة تدور بين أناس لا يعرفون بعضهم البعض لحساب آخرين يعرفون بعضهم البعض ولا يقتلون بعضهم البعض .,حرب
اعطني عدداً قليلاً من الشرفاء ، و أنا أحطم جيشاً من اللصوص .,حرب
إن غياب الحرب لا يعني السلام .,حرب
أسرع طريقة لانهاء الحرب هي ان تخسرها .,حرب
ليس عاراً أن يدخل عدو إلى دارك رغم أنفك ، العار أن يخرج سالماً أمام عينيك .,حرب
تكون الحرب عادلة عندما تكون ضرورية، ويكون استعمال السلاح جائزا عندما لا يوجد أمل إلا في السلاح.,حرب
إذا لم نقض على الحرب فإن الحرب ستقضي علينا.,حرب
الحرب شيء بشع ، لكنها ليست أبشع الأشياء ؛ فالشعور الأخلاقي و الوطني الفاسد و المهين بأن لا شيء يستحق القتال من أجله هو أسوأ بكثير .,حرب
النصر عادة .. كذلك الهزيمة للأسف .,حرب
الشجاعة تصنع المنتصرين ، و الوفاق يصنع الذين لا يهزمون .,حرب
يولد المرء جاهلاً .. لكنه بالتعليم يصبح غبياً .,حرية
محكوم على الإنسان أن يكون حرا، لأنه ما إن يُلقَى به في هذا العالم حتى يكون مسؤولا عن كل ما يفعله.,حرية
نصرة الحق شرف، ونصرة الباطل سرف.,حرية
في الإسلام خلق الله الإنسان ليكون خليفته في الأرض ، و في الحضارة الغربية ليس الإنسان إلا حيواناً متطورا .,حرية
قد تستطيع أن تنتزع الحقوق، ولكنك لا تستطيع أن تعطي ما هو ملك للناس جميعا.,حرية
إن ناسبك المجتمع تسمي ذلك حرية .,حرية
لا يعمل الحاسوب بسرعة إلا لأنه لا يفكر .,حرية
الآن بعد أن لم يكن لديها ما تخسره ، أصبحت حرة.,حرية
